x_px,y_px
5.170000000000000000e+02,6.243333129882812500e+02
5.179801635742187500e+02,6.164091796875000000e+02
5.190000000000000000e+02,6.084841308593750000e+02
5.190000000000000000e+02,6.004841308593750000e+02
5.190000000000000000e+02,5.924840698242187500e+02
5.190000000000000000e+02,5.844840698242187500e+02
5.190000000000000000e+02,5.764840698242187500e+02
5.190000000000000000e+02,5.684840698242187500e+02
5.190000000000000000e+02,5.604840698242187500e+02
5.190000000000000000e+02,5.524840698242187500e+02
5.190000000000000000e+02,5.444840698242187500e+02
5.190000000000000000e+02,5.364840698242187500e+02
5.190000000000000000e+02,5.284841308593750000e+02
5.190000000000000000e+02,5.204840698242187500e+02
5.187777709960937500e+02,5.124877929687500000e+02
5.185255126953125000e+02,5.044917297363281250e+02
5.182585449218750000e+02,4.964962158203125000e+02
5.180000000000000000e+02,4.885009155273437500e+02
5.180000000000000000e+02,4.805009155273437500e+02
5.178094482421875000e+02,4.725039062500000000e+02
5.173173828125000000e+02,4.645192260742187500e+02
5.167731933593750000e+02,4.565378417968750000e+02
5.161313476562500000e+02,4.485642700195312500e+02
5.160000000000000000e+02,4.405679321289062500e+02
5.159638671875000000e+02,4.325686950683593750e+02
5.155988769531250000e+02,4.245770568847656250e+02
5.151867675781250000e+02,4.165877990722656250e+02
5.150000000000000000e+02,4.085935974121093750e+02
5.150000000000000000e+02,4.005935974121093750e+02
5.153847656250000000e+02,3.926141662597656250e+02
5.165103759765625000e+02,3.846938781738281250e+02
5.177779541015625000e+02,3.767951049804687500e+02
5.191018066406250000e+02,3.689055175781250000e+02
5.203981323242187500e+02,3.610112915039062500e+02
5.217133178710937500e+02,3.531201171875000000e+02
5.231896972656250000e+02,3.452581481933593750e+02
5.244189453125000000e+02,3.373579101562500000e+02
5.250000000000000000e+02,3.293842163085937500e+02
5.250000000000000000e+02,3.213842163085937500e+02
5.250000000000000000e+02,3.133842163085937500e+02
5.250000000000000000e+02,3.053842163085937500e+02
5.250869140625000000e+02,2.973888549804687500e+02
5.259515991210937500e+02,2.894357299804687500e+02
5.268350830078125000e+02,2.814846801757812500e+02
5.277185058593750000e+02,2.735335998535156250e+02
5.286760864257812500e+02,2.655912780761718750e+02
5.293828125000000000e+02,2.576234130859375000e+02
5.300000000000000000e+02,2.496484985351562500e+02
5.300000000000000000e+02,2.416484680175781250e+02
5.295035400390625000e+02,2.336641235351562500e+02
5.290050048828125000e+02,2.256797485351562500e+02
5.284064331054687500e+02,2.177025909423828125e+02
5.276129150390625000e+02,2.097425231933593750e+02
5.272761230468750000e+02,2.017497863769531250e+02
5.270000000000000000e+02,1.937567138671875000e+02
5.270000000000000000e+02,1.857567138671875000e+02
5.270000000000000000e+02,1.777566986083984375e+02
5.270000000000000000e+02,1.697566986083984375e+02
5.270000000000000000e+02,1.617566986083984375e+02
5.262064208984375000e+02,1.538256378173828125e+02
5.250000000000000000e+02,1.460146789550781250e+02
5.250000000000000000e+02,1.380147094726562500e+02
5.250000000000000000e+02,1.300147094726562500e+02
5.250000000000000000e+02,1.270000000000000000e+02
